"","X.0.036X2077.00.0.036X2078.00.0.036X2076.00.0.036X2079.00.0.036X2075.00...","X0.057X1194.00.0.057X1195.00.0.057X1193.00.0.057X1196.00.0.057X1197.00...","X0.127X351.00.0.125X359.00.0.124X362.00.0.124X363.00.0.123X366.00...","E"
"1",0.428612442349577,0.561536755379528,0.316770164232716,1
"2",0.404734829064498,0.442355662250001,0.295176344589444,0
"3",0.0820624745402395,0.21230838201307,1,0
"4",0.112978034145076,0.95454223456194,0.00130469529098937,0
"5",0.348169937002677,0.399364024476371,0.228493600214712,0
"6",0.0741338078164197,0.588873264242422,0.554719557610072,0
"7",0.00109418836664745,0.0293218419088024,0.425518066627737,0
"8",0,0.811047648622935,0.915137183579987,0
"9",0.770178502688719,0.132906877832653,0.597322568557491,1
"10",0.414898477541339,0.242128786460659,0.692282357137774,0
"11",0.54493292631336,0.539547379468777,0.551790027705107,0
"12",0.296535399363135,0.907555085442315,0.285973635988685,0
"13",0.640172756557342,1,0.739110418269078,0
"14",0.699869822528309,0.683369694034093,0,0
"15",0.590815981473419,0,0.240993911050402,0
"16",0.831004651256613,0.40677107596061,0.427164123816359,0
"17",1,0.19810092424014,0.482671874986602,1
"18",0.621892592449398,0.465905035040759,0.149487099675788,1
"19",0.768345413937184,0.256993110323172,0.840243275016271,0
"20",0.99808301660971,0.852036765539729,0.390185138023908,0
